Charger Type,Charging End Time,Charging Start Time,City,Installation Date,Month,Operational Status,Payment Mode,Session ID,Station ID,Total Sessions,User ID,Vehicle Type,Average Energy Per Session,Billed Amount INR,Charging Duration min,Energy Delivered kWh,Latitude,Longitude,No of Ports,Power Rating kW,Year
AC Fast,06-03-2023 01:54,05-03-2023 23:47,Bangalore,24-09-2023,March,Active,UPI,SESS0123,STN194,SESS0123,USR5602,3W,23.81,206.05,127,23.81,17.017877,77.284275,4,15,2023
DC Fast,30-03-2023 08:00,30-03-2023 05:06,Bangalore,03-06-2023,March,Inactive,Wallet,SESS0110,STN167,SESS0110,USR2018,2W,12.46,56.55,174,12.46,18.328043,77.959413,4,7.4,2023
DC Fast,16-03-2023 13:39,16-03-2023 12:19,Delhi,22-09-2022,March,Active,Wallet,SESS0226,STN119,SESS0226,USR1371,4W,20.97,152.97,80,20.97,17.752258,72.977619,2,120,2023
AC Fast,18-02-2023 02:34,18-02-2023 01:08,Hyderabad,13-09-2023,February,Inactive,Credit Card,SESS0034,STN154,SESS0034,USR9314,3W,43.94,225.83,86,43.94,17.360425,72.316189,6,50,2023
DC Fast,01-07-2023 06:49,01-07-2023 05:21,Pune,11-09-2023,July,Active,Net Banking,SESS0230,STN102,SESS0230,USR1106,3W,131.05,841.86,88,131.05,18.471909,77.23286,4,7.4,2023
AC Slow,21-09-2023 20:58,21-09-2023 18:59,Hyderabad,07-02-2023,September,Active,UPI,SESS0203,STN106,SESS0203,USR3685,2W,86.67,382.3,119,86.67,17.379187,75.360614,6,7.4,2023
AC Slow,16-12-2023 14:57,16-12-2023 13:21,Mumbai,18-02-2022,December,Inactive,UPI,SESS0107,STN154,SESS0107,USR2219,Bus,237.88,1757.96,96,237.88,18.319199,75.360846,2,120,2023
AC Slow,12-09-2023 16:05,12-09-2023 14:13,Bangalore,26-07-2023,September,Active,Wallet,SESS0195,STN153,SESS0195,USR8584,2W,138.04,1476.95,112,138.04,17.310386,76.107722,4,15,2023
AC Slow,16-07-2023 11:10,16-07-2023 09:15,Pune,03-08-2022,July,Active,UPI,SESS0174,STN113,SESS0174,USR2103,Bus,168.32,851.6,115,168.32,18.803694,73.730207,3,15,2023
DC Fast,15-04-2023 22:19,15-04-2023 21:41,Delhi,07-06-2023,April,Inactive,Net Banking,SESS0133,STN141,SESS0133,USR1477,2W,170.89,1652.77,38,170.89,18.432189,73.41307,3,7.4,2023
AC Fast,15-03-2023 13:53,15-03-2023 10:54,Delhi,28-10-2022,March,Active,Net Banking,SESS0019,STN174,SESS0019,USR7759,2W,93.49,631.38,179,93.49,17.586348,75.754257,3,120,2023
AC Slow,23-01-2023 08:38,23-01-2023 06:43,Pune,27-05-2022,January,Inactive,UPI,SESS0093,STN177,SESS0093,USR4814,3W,120.07,1261.01,115,120.07,17.179685,76.27162,6,7.4,2023
DC Fast,24-11-2023 17:04,24-11-2023 16:31,Mumbai,11-07-2023,November,Inactive,Wallet,SESS0097,STN115,SESS0097,USR9778,4W,10.36,50.36,33,10.36,17.959529,77.667233,6,15,2023
DC Fast,27-03-2023 19:24,27-03-2023 16:25,Hyderabad,26-05-2023,March,Active,Credit Card,SESS0275,STN109,SESS0275,USR8866,3W,291.9,3334.47,179,291.9,17.174163,77.52004,5,120,2023
AC Fast,26-08-2023 05:52,26-08-2023 03:05,Hyderabad,15-03-2023,August,Active,Net Banking,SESS0246,STN135,SESS0246,USR2815,2W,23.92,146.94,167,23.92,18.345384,73.30322,2,15,2023
DC Fast,07-05-2023 03:33,07-05-2023 01:23,Mumbai,28-09-2023,May,Active,Net Banking,SESS0036,STN121,SESS0036,USR5768,Bus,138.04,669.32,130,138.04,18.15217,74.671686,5,3.3,2023
DC Fast,07-08-2023 03:54,07-08-2023 01:58,Delhi,05-11-2021,August,Active,UPI,SESS0039,STN130,SESS0039,USR3591,2W,224.65,1159.87,116,224.65,17.880621,73.134239,5,15,2023
DC Fast,26-12-2023 01:57,25-12-2023 23:05,Bangalore,01-04-2021,December,Inactive,Net Banking,SESS0106,STN181,SESS0106,USR6740,Bus,291.08,1614.21,172,291.08,18.14491,73.680362,2,120,2023
AC Slow,19-09-2023 20:28,19-09-2023 18:02,Hyderabad,28-01-2021,September,Inactive,Wallet,SESS0223,STN177,SESS0223,USR3816,Bus,72.33,560.81,146,72.33,17.941537,75.090467,6,15,2023
AC Fast,22-05-2023 09:21,22-05-2023 06:24,Hyderabad,21-10-2021,May,Inactive,Wallet,SESS0085,STN106,SESS0085,USR5293,3W,213.49,2202.23,177,213.49,18.244937,75.592647,4,7.4,2023
AC Slow,10-01-2023 00:45,09-01-2023 23:17,Hyderabad,07-02-2023,January,Active,UPI,SESS0203,STN106,SESS0203,USR3685,2W,47.06,307.02,88,47.06,17.379187,75.360614,6,7.4,2023
AC Slow,29-05-2023 08:03,29-05-2023 06:50,Mumbai,21-12-2021,May,Active,Net Banking,SESS0256,STN119,SESS0256,USR1293,3W,33.9,170.34,73,33.9,17.822821,77.415317,5,3.3,2023
DC Fast,12-01-2023 12:04,12-01-2023 09:53,Delhi,15-09-2023,January,Inactive,Credit Card,SESS0127,STN178,SESS0127,USR9668,2W,137.96,1487.38,131,137.96,17.814499,77.463796,5,50,2023
DC Fast,28-08-2023 12:56,28-08-2023 10:02,Mumbai,20-02-2023,August,Active,Wallet,SESS0267,STN127,SESS0267,USR1178,2W,84.58,912.48,174,84.58,18.671011,72.403356,5,15,2023
AC Fast,05-03-2023 17:05,05-03-2023 15:58,Delhi,03-07-2021,March,Active,Net Banking,SESS0175,STN174,SESS0175,USR1065,Bus,260.83,1963.68,67,260.83,18.335017,75.932155,3,50,2023
AC Fast,13-01-2023 19:19,13-01-2023 17:25,Hyderabad,22-07-2022,January,Active,Credit Card,SESS0069,STN167,SESS0069,USR5063,Bus,255.83,1397.64,114,255.83,17.132885,76.122406,4,15,2023
AC Fast,10-07-2023 03:18,10-07-2023 02:34,Delhi,19-02-2022,July,Inactive,Wallet,SESS0160,STN161,SESS0160,USR1101,4W,135.08,1370.96,44,135.08,17.684598,76.633498,5,7.4,2023
AC Fast,21-06-2023 13:19,21-06-2023 10:30,Hyderabad,30-11-2021,June,Inactive,UPI,SESS0057,STN145,SESS0057,USR2641,Bus,128.93,782.97,169,128.93,17.462217,73.498233,4,120,2023
AC Fast,08-10-2023 13:53,08-10-2023 11:59,Bangalore,23-04-2022,October,Inactive,Net Banking,SESS0009,STN144,SESS0009,USR3783,2W,150.96,1590.63,114,150.96,18.157048,76.621195,3,120,2023
DC Fast,23-01-2023 09:46,23-01-2023 09:15,Delhi,11-06-2023,January,Inactive,Wallet,SESS0244,STN142,SESS0244,USR8318,4W,213.18,2199.16,31,213.18,17.013839,77.606042,2,7.4,2023
DC Fast,13-06-2023 06:04,13-06-2023 05:29,Mumbai,28-09-2023,June,Active,Net Banking,SESS0036,STN121,SESS0036,USR5768,Bus,56.31,231.18,35,56.31,18.15217,74.671686,5,3.3,2023
AC Fast,18-01-2023 19:57,18-01-2023 18:20,Mumbai,15-11-2021,January,Inactive,Net Banking,SESS0025,STN166,SESS0025,USR9303,4W,284.17,1582.33,97,284.17,17.487145,77.056793,6,120,2023
AC Fast,11-08-2023 22:46,11-08-2023 20:22,Mumbai,13-05-2022,August,Inactive,Wallet,SESS0146,STN171,SESS0146,USR5886,3W,76.71,540.86,144,76.71,17.554987,76.356734,2,15,2023
DC Fast,03-09-2023 14:44,03-09-2023 12:17,Delhi,09-09-2021,September,Inactive,UPI,SESS0091,STN198,SESS0091,USR4602,4W,264.03,1958.18,147,264.03,18.423421,74.342228,6,15,2023
AC Fast,12-11-2023 05:45,12-11-2023 03:36,Hyderabad,04-05-2023,November,Inactive,Wallet,SESS0040,STN174,SESS0040,USR7501,Bus,86.78,468.43,129,86.78,17.305787,77.235661,6,7.4,2023
DC Fast,26-12-2023 00:30,25-12-2023 23:57,Mumbai,19-03-2021,December,Inactive,UPI,SESS0262,STN155,SESS0262,USR7187,2W,86.99,567.92,33,86.99,17.651673,73.812158,4,120,2023
AC Slow,19-03-2023 10:42,19-03-2023 09:21,Mumbai,27-04-2023,March,Inactive,Net Banking,SESS0240,STN164,SESS0240,USR6863,3W,51.14,219.62,81,51.14,17.95459,72.05775,4,7.4,2023
DC Fast,02-03-2023 22:11,02-03-2023 19:53,Delhi,26-06-2023,March,Active,Net Banking,SESS0119,STN181,SESS0119,USR2113,3W,186.08,1117.55,138,186.08,18.98176,73.83877,5,7.4,2023
AC Fast,28-06-2023 03:14,28-06-2023 00:49,Bangalore,02-01-2021,June,Active,Credit Card,SESS0134,STN103,SESS0134,USR2317,4W,216.35,1477.14,145,216.35,18.860018,77.200726,5,50,2023
DC Fast,27-10-2023 21:05,27-10-2023 18:43,Bangalore,08-07-2021,October,Inactive,UPI,SESS0255,STN180,SESS0255,USR5088,4W,119.04,1205.4,142,119.04,18.963797,76.908924,5,15,2023
AC Fast,27-07-2023 23:43,27-07-2023 21:23,Mumbai,15-03-2022,July,Inactive,Wallet,SESS0184,STN135,SESS0184,USR6447,4W,102.44,1167.81,140,102.44,18.579064,77.456856,6,120,2023
AC Slow,28-04-2023 10:59,28-04-2023 09:20,Bangalore,21-06-2021,April,Inactive,Wallet,SESS0159,STN157,SESS0159,USR9971,4W,86.92,754.67,99,86.92,17.51742,72.034137,2,3.3,2023
DC Fast,21-08-2023 07:47,21-08-2023 05:13,Bangalore,03-07-2023,August,Active,Net Banking,SESS0121,STN162,SESS0121,USR5323,4W,105.02,755.38,154,105.02,18.461714,75.495266,2,15,2023
AC Fast,17-07-2023 04:50,17-07-2023 03:18,Bangalore,13-07-2022,July,Active,Credit Card,SESS0029,STN189,SESS0029,USR6808,3W,176.23,941.85,92,176.23,17.351385,76.231562,5,7.4,2023
AC Fast,18-04-2023 00:44,17-04-2023 22:26,Hyderabad,30-11-2021,April,Inactive,UPI,SESS0057,STN145,SESS0057,USR2641,Bus,291.12,1275.87,138,291.12,17.462217,73.498233,4,120,2023
AC Slow,16-04-2023 17:48,16-04-2023 15:04,Pune,14-05-2021,April,Inactive,Wallet,SESS0041,STN158,SESS0041,USR6642,Bus,263.2,2601.21,164,263.2,17.592908,73.266921,5,120,2023
AC Fast,10-10-2023 04:57,10-10-2023 03:59,Mumbai,23-06-2023,October,Inactive,Net Banking,SESS0132,STN191,SESS0132,USR9171,4W,206.26,926.66,58,206.26,17.365776,77.635422,3,3.3,2023
AC Fast,02-03-2023 03:05,02-03-2023 00:40,Pune,25-04-2022,March,Active,Wallet,SESS0197,STN178,SESS0197,USR4045,Bus,127.87,599.73,145,127.87,18.172253,75.165205,2,7.4,2023
DC Fast,05-11-2023 08:39,05-11-2023 06:52,Bangalore,25-02-2022,November,Inactive,Credit Card,SESS0020,STN179,SESS0020,USR7053,3W,116.03,1127.01,107,116.03,17.567198,76.989991,5,7.4,2023
DC Fast,26-06-2023 06:01,26-06-2023 04:37,Mumbai,05-09-2022,June,Active,Net Banking,SESS0228,STN169,SESS0228,USR5739,3W,279.43,3151.2,84,279.43,18.608471,73.432497,4,15,2023
AC Slow,20-10-2023 00:38,19-10-2023 22:57,Pune,30-07-2023,October,Inactive,Wallet,SESS0124,STN106,SESS0124,USR2205,Bus,71.44,746.77,101,71.44,17.440362,74.920821,6,15,2023
DC Fast,26-03-2023 17:21,26-03-2023 16:45,Mumbai,28-06-2021,March,Active,Wallet,SESS0236,STN114,SESS0236,USR4218,2W,236.03,2336.96,36,236.03,18.064896,75.088619,3,50,2023
AC Slow,29-01-2023 02:48,29-01-2023 01:09,Pune,16-01-2023,January,Active,UPI,SESS0109,STN102,SESS0109,USR2165,2W,153.24,1054.32,99,153.24,17.321103,73.451617,2,3.3,2023
AC Fast,21-09-2023 03:48,21-09-2023 01:06,Hyderabad,22-07-2022,September,Active,Credit Card,SESS0069,STN167,SESS0069,USR5063,Bus,49.72,536.75,162,49.72,17.132885,76.122406,4,15,2023
AC Slow,25-02-2023 19:22,25-02-2023 18:40,Pune,28-11-2022,February,Active,Credit Card,SESS0083,STN172,SESS0083,USR9830,3W,36.23,316.64,42,36.23,17.080004,75.614419,5,50,2023
DC Fast,19-12-2023 08:27,19-12-2023 07:56,Mumbai,02-07-2021,December,Inactive,UPI,SESS0284,STN123,SESS0284,USR1574,2W,248.45,1553.86,31,248.45,17.535066,75.758859,5,15,2023
DC Fast,08-02-2023 00:53,07-02-2023 23:26,Delhi,06-12-2021,February,Active,UPI,SESS0171,STN184,SESS0171,USR8368,4W,68.29,563.6,87,68.29,18.411301,75.519161,5,15,2023
AC Fast,12-01-2023 15:40,12-01-2023 13:31,Hyderabad,24-02-2022,January,Inactive,Net Banking,SESS0005,STN135,SESS0005,USR4344,Bus,116.45,1270.07,129,116.45,17.407074,72.605819,3,7.4,2023
AC Slow,12-11-2023 00:09,11-11-2023 23:10,Delhi,06-02-2021,November,Active,Credit Card,SESS0011,STN106,SESS0011,USR6379,Bus,37.38,357.67,59,37.38,18.603722,77.983656,3,15,2023
AC Fast,25-03-2023 11:22,25-03-2023 10:03,Bangalore,02-01-2021,March,Active,Credit Card,SESS0134,STN103,SESS0134,USR2317,4W,180.51,1752.87,79,180.51,18.860018,77.200726,5,50,2023
AC Fast,16-03-2023 08:13,16-03-2023 07:28,Pune,24-08-2023,March,Inactive,Net Banking,SESS0101,STN106,SESS0101,USR5968,Bus,254.62,1098.17,45,254.62,18.10258,75.371436,6,7.4,2023
AC Slow,14-02-2023 14:19,14-02-2023 13:36,Delhi,27-09-2023,February,Active,Credit Card,SESS0216,STN146,SESS0216,USR5726,2W,43.57,499.8,43,43.57,17.482806,76.86322,5,120,2023
AC Fast,11-07-2023 05:45,11-07-2023 03:36,Pune,28-05-2021,July,Inactive,Net Banking,SESS0251,STN199,SESS0251,USR5035,4W,126.02,1271.57,129,126.02,18.267605,75.136556,6,120,2023
AC Slow,31-05-2023 00:14,30-05-2023 22:23,Pune,01-06-2022,May,Active,Net Banking,SESS0257,STN170,SESS0257,USR2855,3W,272.55,2699.56,111,272.55,17.635741,72.132943,5,50,2023
DC Fast,22-06-2023 23:39,22-06-2023 21:15,Mumbai,23-09-2021,June,Active,Credit Card,SESS0120,STN137,SESS0120,USR1094,4W,38.93,208.56,144,38.93,18.598676,75.907903,5,50,2023
DC Fast,28-11-2023 06:09,28-11-2023 04:56,Mumbai,19-06-2023,November,Inactive,Credit Card,SESS0100,STN193,SESS0100,USR3265,Bus,256.13,2977.25,73,256.13,18.671077,74.699024,5,3.3,2023
DC Fast,23-07-2023 01:47,22-07-2023 22:56,Hyderabad,18-06-2023,July,Inactive,UPI,SESS0237,STN174,SESS0237,USR9477,4W,277.49,1602.19,171,277.49,17.624661,77.013886,2,15,2023
DC Fast,01-10-2023 14:36,01-10-2023 12:21,Pune,14-04-2021,October,Inactive,Net Banking,SESS0273,STN134,SESS0273,USR9462,2W,72.4,534.12,135,72.4,17.613109,74.685098,2,50,2023
AC Slow,19-04-2023 23:02,19-04-2023 20:51,Bangalore,04-12-2021,April,Inactive,Credit Card,SESS0194,STN129,SESS0194,USR2094,4W,281.74,1860.9,131,281.74,17.245064,73.596145,4,7.4,2023
AC Slow,03-05-2023 23:47,03-05-2023 22:11,Bangalore,03-05-2021,May,Inactive,Wallet,SESS0233,STN177,SESS0233,USR5444,4W,246.92,2075.56,96,246.92,18.156859,74.224709,6,3.3,2023
AC Slow,24-11-2023 04:56,24-11-2023 04:20,Hyderabad,07-05-2021,November,Inactive,Net Banking,SESS0163,STN142,SESS0163,USR1295,Bus,224.63,1326.42,36,224.63,17.067923,76.063057,4,3.3,2023
AC Fast,30-11-2023 13:26,30-11-2023 12:20,Delhi,29-12-2022,November,Inactive,UPI,SESS0208,STN119,SESS0208,USR1815,2W,194.29,1836.48,66,194.29,17.520635,77.632147,2,3.3,2023
AC Fast,28-02-2023 20:25,28-02-2023 17:42,Mumbai,15-08-2021,February,Inactive,Wallet,SESS0137,STN125,SESS0137,USR3677,Bus,120.01,721.48,163,120.01,17.300964,75.200108,4,7.4,2023
AC Fast,18-05-2023 16:44,18-05-2023 13:59,Mumbai,23-08-2022,May,Active,Credit Card,SESS0279,STN180,SESS0279,USR1693,2W,116.36,1206.28,165,116.36,18.5395,74.892705,4,120,2023
DC Fast,19-01-2023 21:22,19-01-2023 20:36,Mumbai,11-05-2023,January,Inactive,UPI,SESS0117,STN164,SESS0117,USR5654,4W,244.07,2248.74,46,244.07,17.098323,75.2468,4,50,2023
AC Fast,03-07-2023 13:09,03-07-2023 10:41,Delhi,28-10-2022,July,Active,Net Banking,SESS0019,STN174,SESS0019,USR7759,2W,267.54,2008.33,148,267.54,17.586348,75.754257,3,120,2023
DC Fast,06-01-2023 15:54,06-01-2023 13:37,Pune,10-07-2022,January,Active,Credit Card,SESS0286,STN180,SESS0286,USR9669,3W,120.77,1125.68,137,120.77,18.154288,72.441782,5,15,2023
DC Fast,28-10-2023 03:06,28-10-2023 01:33,Mumbai,19-03-2021,October,Inactive,UPI,SESS0262,STN155,SESS0262,USR7187,2W,157.43,1871.84,93,157.43,17.651673,73.812158,4,120,2023
AC Slow,26-11-2023 11:09,26-11-2023 08:58,Delhi,09-02-2023,November,Active,Net Banking,SESS0035,STN119,SESS0035,USR2745,Bus,54.44,272.98,131,54.44,17.956643,74.460684,5,7.4,2023
AC Fast,16-05-2023 06:35,16-05-2023 05:05,Bangalore,04-09-2021,May,Active,Wallet,SESS0142,STN114,SESS0142,USR3705,3W,280.59,2842.83,90,280.59,18.25438,73.939095,5,7.4,2023
AC Slow,02-02-2023 22:52,02-02-2023 20:41,Pune,18-05-2023,February,Inactive,Credit Card,SESS0276,STN138,SESS0276,USR6617,3W,25.28,267.65,131,25.28,17.867195,75.578434,4,50,2023
AC Fast,08-06-2023 20:21,08-06-2023 18:22,Bangalore,16-02-2023,June,Inactive,Credit Card,SESS0131,STN183,SESS0131,USR5797,3W,11.55,64.36,119,11.55,17.512048,75.160967,3,50,2023
AC Fast,23-12-2023 11:04,23-12-2023 09:58,Pune,02-08-2022,December,Inactive,Wallet,SESS0270,STN166,SESS0270,USR7631,4W,44.22,241.43,66,44.22,17.940541,73.495452,3,120,2023
DC Fast,20-12-2023 09:11,20-12-2023 06:33,Mumbai,28-06-2021,December,Active,Wallet,SESS0236,STN114,SESS0236,USR4218,2W,266.15,2883.33,158,266.15,18.064896,75.088619,3,50,2023
AC Slow,11-09-2023 08:12,11-09-2023 05:53,Mumbai,21-11-2021,September,Inactive,UPI,SESS0188,STN170,SESS0188,USR6033,Bus,160.89,1422.84,139,160.89,17.415236,77.674206,2,50,2023
AC Fast,20-06-2023 21:47,20-06-2023 19:09,Delhi,01-08-2022,June,Active,Wallet,SESS0139,STN140,SESS0139,USR7277,3W,259.64,1828.69,158,259.64,18.68715,74.766118,6,120,2023
AC Fast,08-06-2023 09:40,08-06-2023 08:34,Pune,25-08-2021,June,Inactive,Net Banking,SESS0017,STN116,SESS0017,USR3132,Bus,37.1,184.34,66,37.1,18.707098,77.951285,5,50,2023
DC Fast,26-02-2023 12:55,26-02-2023 10:29,Hyderabad,18-06-2023,February,Inactive,UPI,SESS0237,STN174,SESS0237,USR9477,4W,273.27,2810,146,273.27,17.624661,77.013886,2,15,2023
AC Slow,13-07-2023 04:50,13-07-2023 03:44,Bangalore,29-12-2022,July,Active,UPI,SESS0287,STN100,SESS0287,USR7839,3W,11.87,56.13,66,11.87,17.413964,74.96159,3,3.3,2023
DC Fast,25-12-2023 10:04,25-12-2023 08:32,Hyderabad,19-01-2022,December,Inactive,UPI,SESS0260,STN185,SESS0260,USR1772,Bus,131.51,1034.36,92,131.51,18.109777,72.210033,5,15,2023
DC Fast,19-10-2023 04:35,19-10-2023 02:29,Delhi,22-09-2022,October,Inactive,UPI,SESS0098,STN126,SESS0098,USR7847,Bus,229.38,1707.95,126,229.38,17.618585,75.755178,2,50,2023
AC Slow,29-12-2023 21:30,29-12-2023 18:51,Delhi,06-01-2022,December,Inactive,Wallet,SESS0178,STN182,SESS0178,USR8889,2W,146.21,750.2,159,146.21,18.216644,72.877747,6,7.4,2023
AC Slow,21-11-2023 17:26,21-11-2023 15:35,Bangalore,04-12-2021,November,Inactive,Credit Card,SESS0194,STN129,SESS0194,USR2094,4W,202.36,1885.09,111,202.36,17.245064,73.596145,4,7.4,2023
DC Fast,31-12-2023 11:37,31-12-2023 09:17,Bangalore,03-07-2023,December,Active,Net Banking,SESS0121,STN162,SESS0121,USR5323,4W,263.63,2387.95,140,263.63,18.461714,75.495266,2,15,2023
AC Slow,19-02-2023 19:59,19-02-2023 17:46,Delhi,09-02-2023,February,Active,Net Banking,SESS0035,STN119,SESS0035,USR2745,Bus,171.46,1033.74,133,171.46,17.956643,74.460684,5,7.4,2023
DC Fast,18-03-2023 21:40,18-03-2023 18:40,Delhi,22-09-2022,March,Inactive,UPI,SESS0098,STN126,SESS0098,USR7847,Bus,187.55,1429.56,180,187.55,17.618585,75.755178,2,50,2023
DC Fast,18-11-2023 14:49,18-11-2023 13:33,Pune,10-02-2021,November,Active,Credit Card,SESS0235,STN113,SESS0235,USR4348,4W,36.06,194.73,76,36.06,18.68376,74.078069,6,3.3,2023
AC Fast,25-12-2023 02:52,25-12-2023 01:55,Hyderabad,15-08-2021,December,Inactive,Wallet,SESS0059,STN117,SESS0059,USR6621,3W,167.5,879.99,57,167.5,18.940129,76.535873,4,7.4,2023
AC Slow,27-04-2023 11:22,27-04-2023 10:33,Hyderabad,20-05-2021,April,Inactive,Net Banking,SESS0081,STN191,SESS0081,USR7521,4W,265.5,1762.78,49,265.5,18.847527,77.086053,6,3.3,2023
AC Slow,20-05-2023 15:05,20-05-2023 12:09,Pune,07-08-2023,May,Inactive,Wallet,SESS0207,STN159,SESS0207,USR7237,3W,76.43,713.66,176,76.43,17.193739,74.510422,4,7.4,2023
DC Fast,13-04-2023 11:48,13-04-2023 09:16,Mumbai,05-07-2021,April,Inactive,Net Banking,SESS0169,STN186,SESS0169,USR9215,2W,84.44,973.77,152,84.44,18.562903,76.053815,3,120,2023
AC Slow,19-02-2023 16:13,19-02-2023 13:16,Bangalore,24-10-2022,February,Inactive,Credit Card,SESS0125,STN196,SESS0125,USR1946,4W,28.21,211.57,177,28.21,17.488221,74.475067,2,50,2023
DC Fast,15-03-2023 08:10,15-03-2023 07:34,Pune,07-02-2023,March,Active,Net Banking,SESS0225,STN130,SESS0225,USR6667,4W,108.29,464.73,36,108.29,17.497243,75.782463,2,50,2023
AC Slow,21-10-2023 14:48,21-10-2023 13:42,Bangalore,21-06-2021,October,Inactive,Wallet,SESS0159,STN157,SESS0159,USR9971,4W,28.75,285.86,66,28.75,17.51742,72.034137,2,3.3,2023
DC Fast,17-04-2023 11:13,17-04-2023 09:17,Bangalore,19-10-2021,April,Inactive,Wallet,SESS0170,STN136,SESS0170,USR3435,3W,36.22,201.02,116,36.22,18.96391,76.876684,2,3.3,2023
AC Slow,29-07-2023 09:30,29-07-2023 07:36,Pune,01-06-2022,July,Active,Net Banking,SESS0257,STN170,SESS0257,USR2855,3W,74.37,690.43,114,74.37,17.635741,72.132943,5,50,2023
DC Fast,19-08-2023 04:49,19-08-2023 03:32,Delhi,07-06-2023,August,Inactive,Net Banking,SESS0133,STN141,SESS0133,USR1477,2W,230.13,1251.64,77,230.13,18.432189,73.41307,3,7.4,2023
AC Slow,31-12-2023 08:50,31-12-2023 06:46,Hyderabad,11-05-2021,December,Inactive,Net Banking,SESS0047,STN112,SESS0047,USR6240,3W,104.56,1092.56,124,104.56,17.55011,75.100619,3,3.3,2023
AC Slow,22-12-2023 16:24,22-12-2023 15:03,Pune,27-01-2023,December,Active,Wallet,SESS0028,STN145,SESS0028,USR4672,2W,155.07,1629.31,81,155.07,18.274468,77.857656,3,50,2023
DC Fast,20-10-2023 13:13,20-10-2023 11:12,Hyderabad,24-10-2022,October,Active,Credit Card,SESS0129,STN151,SESS0129,USR9184,3W,5.08,53.36,121,5.08,18.270293,76.27082,5,7.4,2023
AC Slow,15-02-2023 06:36,15-02-2023 03:46,Hyderabad,04-07-2023,February,Active,UPI,SESS0202,STN184,SESS0202,USR4250,3W,110.76,742.02,170,110.76,17.745305,77.8961,5,15,2023
DC Fast,13-11-2023 19:20,13-11-2023 17:39,Pune,15-02-2021,November,Active,Net Banking,SESS0242,STN184,SESS0242,USR3702,4W,217.07,927.98,101,217.07,18.477661,76.670402,4,15,2023
AC Slow,10-02-2023 15:03,10-02-2023 14:03,Bangalore,21-04-2023,February,Inactive,Wallet,SESS0141,STN181,SESS0141,USR9390,3W,20.69,229.76,60,20.69,17.781748,74.841742,3,3.3,2023
AC Slow,05-02-2023 06:21,05-02-2023 05:51,Delhi,09-02-2023,February,Active,Net Banking,SESS0035,STN119,SESS0035,USR2745,Bus,292.67,3212.39,30,292.67,17.956643,74.460684,5,7.4,2023
AC Slow,06-08-2023 03:36,06-08-2023 02:29,Pune,17-07-2022,August,Inactive,Net Banking,SESS0138,STN135,SESS0138,USR1629,3W,285.56,1568.15,67,285.56,17.098494,73.872654,3,3.3,2023
AC Slow,15-08-2023 05:43,15-08-2023 04:13,Hyderabad,07-05-2021,August,Inactive,Net Banking,SESS0163,STN142,SESS0163,USR1295,Bus,267.14,1146.96,90,267.14,17.067923,76.063057,4,3.3,2023
DC Fast,25-03-2023 09:29,25-03-2023 08:42,Bangalore,05-10-2022,March,Active,UPI,SESS0053,STN139,SESS0053,USR9820,Bus,259.08,2498.72,47,259.08,18.218349,74.932914,3,120,2023
DC Fast,08-06-2023 17:53,08-06-2023 15:32,Mumbai,29-03-2023,June,Active,Wallet,SESS0104,STN165,SESS0104,USR8558,2W,14.69,123.14,141,14.69,17.89224,72.214571,2,15,2023
DC Fast,25-07-2023 09:26,25-07-2023 08:12,Pune,15-08-2021,July,Inactive,Wallet,SESS0193,STN127,SESS0193,USR6093,4W,119.76,756.09,74,119.76,18.736881,76.723466,5,120,2023
AC Slow,31-08-2023 08:02,31-08-2023 07:17,Mumbai,10-05-2023,August,Inactive,Net Banking,SESS0247,STN100,SESS0247,USR1272,3W,243.59,2545.25,45,243.59,17.617092,75.034679,6,120,2023
AC Slow,21-08-2023 02:18,20-08-2023 23:40,Mumbai,14-01-2022,August,Active,Wallet,SESS0082,STN151,SESS0082,USR6233,4W,185.39,1113.81,158,185.39,17.280733,74.794692,4,15,2023
AC Fast,30-01-2023 11:30,30-01-2023 09:56,Mumbai,15-08-2021,January,Inactive,Wallet,SESS0137,STN125,SESS0137,USR3677,Bus,199.34,917.63,94,199.34,17.300964,75.200108,4,7.4,2023
AC Slow,04-11-2023 18:13,04-11-2023 16:35,Bangalore,03-05-2021,November,Inactive,Wallet,SESS0233,STN177,SESS0233,USR5444,4W,87.53,989.59,98,87.53,18.156859,74.224709,6,3.3,2023
AC Slow,29-08-2023 13:12,29-08-2023 12:28,Mumbai,21-10-2022,August,Active,UPI,SESS0221,STN147,SESS0221,USR3001,3W,101.91,1014.42,44,101.91,18.259497,73.041542,5,50,2023
AC Slow,18-09-2023 10:52,18-09-2023 08:24,Pune,16-01-2023,September,Active,UPI,SESS0109,STN102,SESS0109,USR2165,2W,158.3,1188.78,148,158.3,17.321103,73.451617,2,3.3,2023
AC Fast,31-08-2023 16:39,31-08-2023 14:59,Mumbai,23-06-2023,August,Inactive,Net Banking,SESS0132,STN191,SESS0132,USR9171,4W,275.99,1999.59,100,275.99,17.365776,77.635422,3,3.3,2023
AC Slow,19-04-2023 22:18,19-04-2023 21:22,Delhi,23-09-2023,April,Inactive,Credit Card,SESS0010,STN100,SESS0010,USR9433,2W,164.03,1801.97,56,164.03,17.479561,76.102331,5,15,2023
